Mars solar minimum

Z: altitude (km)
CO2,N2,O,H,hotO: number density (cm-3)
SZA=44 deg
------------------------------------------------------

  Z     CO2        N2         O         H      hotO   
 100 8.090E+11 1.950E+10 5.100E+09 7.800E+05 0.000E+00
 104 5.425E+11 1.308E+10 3.420E+09 5.231E+05 0.000E+00
 108 3.575E+11 8.617E+09 2.254E+09 3.447E+05 0.000E+00
 112 2.355E+11 5.677E+09 1.485E+09 2.271E+05 0.000E+00
 116 1.546E+11 3.727E+09 9.747E+08 1.491E+05 0.000E+00
 120 9.946E+10 2.830E+09 8.381E+08 1.498E+05 0.000E+00
 124 6.362E+10 2.141E+09 7.193E+08 1.504E+05 0.000E+00
 128 4.008E+10 1.598E+09 6.096E+08 1.494E+05 0.000E+00
 132 2.489E+10 1.175E+09 5.085E+08 1.460E+05 0.000E+00
 136 1.544E+10 8.592E+08 4.208E+08 1.410E+05 0.000E+00
 140 9.703E+09 6.336E+08 3.499E+08 1.362E+05 0.000E+00
 144 6.080E+09 4.634E+08 2.874E+08 1.293E+05 0.000E+00
 148 3.953E+09 3.497E+08 2.426E+08 1.255E+05 0.000E+00
 152 2.590E+09 2.653E+08 2.054E+08 1.219E+05 0.000E+00
 156 1.705E+09 2.014E+08 1.735E+08 1.177E+05 0.000E+00
 160 1.136E+09 1.541E+08 1.472E+08 1.138E+05 0.000E+00
 164 7.696E+08 1.196E+08 1.265E+08 1.110E+05 0.000E+00
 168 5.268E+08 9.347E+07 1.093E+08 1.086E+05 0.000E+00
 172 3.649E+08 7.383E+07 9.523E+07 1.070E+05 2.430E+04
 176 2.546E+08 5.873E+07 8.356E+07 1.062E+05 2.363E+04
 180 1.778E+08 4.673E+07 7.333E+07 1.053E+05 2.299E+04
 184 1.243E+08 3.721E+07 6.438E+07 1.045E+05 2.235E+04
 188 8.696E+07 2.964E+07 5.653E+07 1.036E+05 2.174E+04
 192 6.088E+07 2.362E+07 4.966E+07 1.028E+05 2.114E+04
 196 4.265E+07 1.884E+07 4.363E+07 1.020E+05 2.056E+04
 200 2.991E+07 1.503E+07 3.835E+07 1.011E+05 2.000E+04
 204 2.099E+07 1.200E+07 3.371E+07 1.003E+05 1.945E+04
 208 1.474E+07 9.580E+06 2.965E+07 9.952E+04 1.892E+04
 212 1.036E+07 7.655E+06 2.608E+07 9.872E+04 1.840E+04
 216 7.287E+06 6.119E+06 2.295E+07 9.794E+04 1.790E+04
 220 5.130E+06 4.894E+06 2.020E+07 9.716E+04 1.741E+04
 224 3.614E+06 3.916E+06 1.778E+07 9.639E+04 1.693E+04
 228 2.548E+06 3.135E+06 1.566E+07 9.563E+04 1.647E+04
 232 1.798E+06 2.511E+06 1.380E+07 9.487E+04 1.602E+04
 236 1.270E+06 2.013E+06 1.216E+07 9.412E+04 1.558E+04
 240 8.971E+05 1.614E+06 1.071E+07 9.338E+04 1.516E+04
 244 6.344E+05 1.294E+06 9.446E+06 9.265E+04 1.474E+04
 248 4.490E+05 1.039E+06 8.330E+06 9.193E+04 1.434E+04
 252 3.180E+05 8.340E+05 7.348E+06 9.121E+04 1.395E+04
 256 2.254E+05 6.700E+05 6.484E+06 9.050E+04 1.357E+04
 260 1.599E+05 5.385E+05 5.723E+06 8.979E+04 1.320E+04
 264 1.135E+05 4.330E+05 5.052E+06 8.910E+04 1.283E+04
 268 8.064E+04 3.483E+05 4.462E+06 8.841E+04 1.248E+04
 272 5.733E+04 2.803E+05 3.941E+06 8.773E+04 1.214E+04
 276 4.079E+04 2.257E+05 3.482E+06 8.705E+04 1.181E+04
 280 2.904E+04 1.819E+05 3.078E+06 8.638E+04 1.149E+04
 284 2.069E+04 1.466E+05 2.721E+06 8.572E+04 1.117E+04
