 Mars solar minimum
 Z: altitude (km)
 CO2+, O2+, O+, H+: production rate (cm-3 s-1)
 SZA=44 deg
 ---------------------------------------------
   Z     CO2+        O2+         O+         H+
 100  0.2317E+02  0.1234E-03  0.4517E+01  0.1420E-07
 104  0.3199E+02  0.1074E-01  0.1015E+02  0.1230E-05
 108  0.1355E+03  0.1798E+00  0.2285E+02  0.2060E-04
 112  0.5035E+03  0.9946E+00  0.5471E+02  0.1140E-03
 116  0.1382E+04  0.2651E+01  0.1197E+03  0.3050E-03
 120  0.2748E+04  0.4771E+01  0.2129E+03  0.7540E-03
 124  0.4076E+04  0.6201E+01  0.2972E+03  0.1360E-02
 128  0.4651E+04  0.6463E+01  0.3278E+03  0.1970E-02
 132  0.4319E+04  0.5766E+01  0.3025E+03  0.2440E-02
 136  0.3489E+04  0.4703E+01  0.2480E+03  0.2740E-02
 140  0.2597E+04  0.3668E+01  0.1923E+03  0.2910E-02
 144  0.1810E+04  0.2745E+01  0.1419E+03  0.2930E-02
 148  0.1249E+04  0.2076E+01  0.1054E+03  0.2960E-02
 152  0.8426E+03  0.1566E+01  0.7781E+02  0.2960E-02
 156  0.5589E+03  0.1168E+01  0.5711E+02  0.2910E-02
 160  0.3703E+03  0.8737E+00  0.4222E+02  0.2850E-02
 164  0.2479E+03  0.6594E+00  0.3184E+02  0.2800E-02
 168  0.1684E+03  0.5016E+00  0.2430E+02  0.2760E-02
 172  0.1150E+03  0.3857E+00  0.1899E+02  0.2730E-02
 176  0.7939E+02  0.2970E+00  0.1509E+02  0.2710E-02
 180  0.5500E+02  0.2300E+00  0.1217E+02  0.2700E-02
 184  0.3823E+02  0.1773E+00  0.9922E+01  0.2680E-02
 188  0.2657E+02  0.1367E+00  0.8179E+01  0.2660E-02
 192  0.1858E+02  0.1055E+00  0.6814E+01  0.2640E-02
 196  0.1293E+02  0.8192E-01  0.5734E+01  0.2630E-02
 200  0.9051E+01  0.6328E-01  0.4856E+01  0.2600E-02
 204  0.6335E+01  0.4892E-01  0.4148E+01  0.2580E-02
 208  0.4443E+01  0.3782E-01  0.3554E+01  0.2560E-02
 212  0.3122E+01  0.2927E-01  0.3069E+01  0.2540E-02
 216  0.2193E+01  0.2267E-01  0.2658E+01  0.2530E-02
 220  0.1541E+01  0.1756E-01  0.2310E+01  0.2510E-02
 224  0.1085E+01  0.1361E-01  0.2011E+01  0.2490E-02
 228  0.7648E+00  0.1055E-01  0.1750E+01  0.2470E-02
 232  0.5392E+00  0.8189E-02  0.1536E+01  0.2450E-02
 236  0.3809E+00  0.6359E-02  0.1348E+01  0.2430E-02
 240  0.2688E+00  0.4940E-02  0.1179E+01  0.2410E-02
 244  0.1898E+00  0.3839E-02  0.1037E+01  0.2390E-02
 248  0.1348E+00  0.2986E-02  0.9116E+00  0.2370E-02
 252  0.9525E-01  0.2324E-02  0.8017E+00  0.2350E-02
 256  0.6750E-01  0.1809E-02  0.7065E+00  0.2330E-02
 260  0.4788E-01  0.1409E-02  0.6217E+00  0.2320E-02
 264  0.3396E-01  0.1098E-02  0.5480E+00  0.2300E-02
 268  0.2410E-01  0.8566E-03  0.4841E+00  0.2280E-02
 272  0.1719E-01  0.6682E-03  0.4268E+00  0.2260E-02
 276  0.1226E-01  0.5217E-03  0.3768E+00  0.2250E-02
 280  0.8693E-02  0.4075E-03  0.3330E+00  0.2230E-02
 284  0.6196E-02  0.3185E-03  0.2943E+00  0.2210E-02
 288  0.4422E-02  0.2491E-03  0.2605E+00  0.2190E-02
 292  0.3152E-02  0.1949E-03  0.2295E+00  0.2180E-02
 296  0.2254E-02  0.1525E-03  0.2032E+00  0.2160E-02
