Mars solar minimum

Z: altitude (km)
TN,TI,TE: temperature (K)
SZA=44 deg
----------------------------------

  Z      TN        TI        TE   
 100 1.750E+02 1.750E+02 1.500E+02
 104 1.710E+02 1.710E+02 1.550E+02
 108 1.688E+02 1.688E+02 1.650E+02
 112 1.660E+02 1.660E+02 1.750E+02
 116 1.624E+02 1.624E+02 1.830E+02
 120 1.600E+02 1.600E+02 2.050E+02
 124 1.576E+02 1.576E+02 2.200E+02
 128 1.570E+02 1.570E+02 2.450E+02
 132 1.590E+02 1.590E+02 2.650E+02
 136 1.630E+02 1.630E+02 2.850E+02
 140 1.670E+02 1.670E+02 3.100E+02
 144 1.742E+02 1.741E+02 3.300E+02
 148 1.778E+02 1.778E+02 3.900E+02
 152 1.814E+02 1.814E+02 5.000E+02
 156 1.862E+02 1.862E+02 7.500E+02
 160 1.910E+02 2.000E+02 1.100E+03
 164 1.942E+02 2.020E+02 1.200E+03
 168 1.968E+02 2.050E+02 1.600E+03
 172 1.980E+02 2.100E+02 1.800E+03
 176 1.980E+02 2.200E+02 1.950E+03
 180 1.980E+02 2.300E+02 2.100E+03
 184 1.980E+02 2.400E+02 2.250E+03
 188 1.980E+02 2.500E+02 2.300E+03
 192 1.980E+02 2.700E+02 2.400E+03
 196 1.980E+02 2.900E+02 2.460E+03
 200 1.980E+02 3.150E+02 2.500E+03
 204 1.980E+02 3.500E+02 2.550E+03
 208 1.980E+02 3.900E+02 2.600E+03
 212 1.980E+02 4.300E+02 2.650E+03
 216 1.980E+02 4.400E+02 2.700E+03
 220 1.980E+02 4.500E+02 2.750E+03
 224 1.980E+02 4.700E+02 2.790E+03
 228 1.980E+02 5.500E+02 2.820E+03
 232 1.980E+02 6.200E+02 2.850E+03
 236 1.980E+02 7.400E+02 2.890E+03
 240 1.980E+02 8.800E+02 2.920E+03
 244 1.980E+02 1.100E+03 2.960E+03
 248 1.980E+02 1.300E+03 3.000E+03
 252 1.980E+02 1.450E+03 3.020E+03
 256 1.980E+02 1.475E+03 3.060E+03
 260 1.980E+02 1.490E+03 3.100E+03
 264 1.980E+02 1.500E+03 3.130E+03
 268 1.980E+02 1.600E+03 3.150E+03
 272 1.980E+02 1.620E+03 3.160E+03
 276 1.980E+02 1.750E+03 3.170E+03
 280 1.980E+02 1.800E+03 3.180E+03
 284 1.980E+02 1.900E+03 3.190E+03
 288 1.980E+02 1.920E+03 3.200E+03
 292 1.980E+02 2.100E+03 3.210E+03
 296 1.980E+02 2.200E+03 3.220E+03
 300 1.980E+02 2.250E+03 3.230E+03
 304 1.980E+02 2.300E+03 3.240E+03
 308 1.980E+02 2.350E+03 3.250E+03
 312 1.980E+02 2.450E+03 3.260E+03
 316 1.980E+02 2.500E+03 3.270E+03
 320 1.980E+02 2.550E+03 3.280E+03
 324 1.980E+02 2.650E+03 3.290E+03
 328 1.980E+02 2.700E+03 3.300E+03
 332 1.980E+02 2.750E+03 3.310E+03
 336 1.980E+02 2.800E+03 3.320E+03
 340 1.980E+02 2.880E+03 3.320E+03
 344 1.980E+02 2.950E+03 3.330E+03
 348 1.980E+02 3.000E+03 3.340E+03
 352 1.980E+02 3.050E+03 3.350E+03
 356 1.980E+02 3.130E+03 3.360E+03
 360 1.980E+02 3.195E+03 3.370E+03
 364 1.980E+02 3.260E+03 3.380E+03
 368 1.980E+02 3.325E+03 3.390E+03
 372 1.980E+02 3.390E+03 3.400E+03
 376 1.980E+02 3.455E+03 3.410E+03
 380 1.980E+02 3.520E+03 3.420E+03
 384 1.980E+02 3.584E+03 3.430E+03
 388 1.980E+02 3.648E+03 3.440E+03
 392 1.980E+02 3.712E+03 3.450E+03
 396 1.980E+02 3.776E+03 3.460E+03
 400 1.980E+02 3.840E+03 3.470E+03
 404 1.980E+02 3.902E+03 3.480E+03
 408 1.980E+02 3.964E+03 3.490E+03
 412 1.980E+02 4.026E+03 3.500E+03
 416 1.980E+02 4.088E+03 3.510E+03
 420 1.980E+02 4.150E+03 3.520E+03
 424 1.980E+02 4.170E+03 3.530E+03
 428 1.980E+02 4.190E+03 3.540E+03
 432 1.980E+02 4.210E+03 3.550E+03
 436 1.980E+02 4.230E+03 3.560E+03
 440 1.980E+02 4.250E+03 3.570E+03
 444 1.980E+02 4.270E+03 3.570E+03
 448 1.980E+02 4.290E+03 3.580E+03
 452 1.980E+02 4.310E+03 3.590E+03
 456 1.980E+02 4.330E+03 3.600E+03
 460 1.980E+02 4.350E+03 3.610E+03
 464 1.980E+02 4.370E+03 3.620E+03
 468 1.980E+02 4.390E+03 3.630E+03
 472 1.980E+02 4.410E+03 3.640E+03
 476 1.980E+02 4.430E+03 3.650E+03
 480 1.980E+02 4.450E+03 3.660E+03
 484 1.980E+02 4.450E+03 3.660E+03
 488 1.980E+02 4.450E+03 3.660E+03
 492 1.980E+02 4.450E+03 3.660E+03
 496 1.980E+02 4.450E+03 3.660E+03
 500 1.980E+02 4.450E+03 3.660E+03
 504 1.980E+02 4.450E+03 3.660E+03
 508 1.980E+02 4.450E+03 3.660E+03
 512 1.980E+02 4.450E+03 3.660E+03
 516 1.980E+02 4.450E+03 3.660E+03
 520 1.980E+02 4.450E+03 3.660E+03
 524 1.980E+02 4.450E+03 3.660E+03
 528 1.980E+02 4.450E+03 3.660E+03
 532 1.980E+02 4.450E+03 3.660E+03
 536 1.980E+02 4.450E+03 3.660E+03
 540 1.980E+02 4.450E+03 3.660E+03
 544 1.980E+02 4.450E+03 3.660E+03
 548 1.980E+02 4.450E+03 3.660E+03
 552 1.980E+02 4.450E+03 3.660E+03
 556 1.980E+02 4.450E+03 3.660E+03
 560 1.980E+02 4.450E+03 3.660E+03
 564 1.980E+02 4.450E+03 3.660E+03
